"TickerNo se encontraron coincidencias  (i)","Precio","Vol.","Volumen*Precio","Próxima fecha de beneficios","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnicoStrong Sell","Valoración de medias móvilesStrong Sell","Valoración de los osciladoresVender","Vol relativo","Patrón"
"GFAMSA/ADGRUPO FAMSA SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-famsa-sab-de-cv.svg","0.939MXN","46.521K","43.683K","2022-10-27","−3.20%","−1.88%","Sell","Strong Sell","Neutro","0.41","—"
"CHDRAUI/BDGRUPO COMERCIAL CHEDRAUI SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-comercial-chedraui-sab-de-cv.svg","79.05MXN","1.392M","110.058M","2023-02-28","1.46%","2.38%","Strong Buy","Strong Buy","Neutro","2.35","—"
"VISTA/ADVISTA OIL & GAS SAB DE CV https://s3-symbol-logo.tradingview.com/vista-oil-and-gas.svg","265.00MXN","284","75.26K","2023-02-23","−2.65%","−0.75%","Buy","Strong Buy","Sell","0.14",""
"MRODMARATHON OIL CORPORATION https://s3-symbol-logo.tradingview.com/marathon-oil.svg","601.00MXN","357.812K","215.045M","2022-11-02","−1.14%","2.74%","Buy","Strong Buy","Neutro","0.54",""
"GFINBUR/ODGRUPO FINANCIERO INBURSA SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-financiero-inbursa-sab-de-cv.svg","36.21MXN","616.691K","22.33M","2022-10-27","−3.10%","−2.90%","Buy","Strong Buy","Neutro","0.43","—"
"APADAPA CORPORATION https://s3-symbol-logo.tradingview.com/apa-corporation.svg","930.00MXN","16","14.88K","2022-11-02","3.33%","1.26%","Strong Buy","Strong Buy","Buy","0.00",""
"XOMDEXXON MOBIL CORPORATION https://s3-symbol-logo.tradingview.com/exxon.svg","2152.77MXN","40.124K","86.378M","2022-10-28","0.13%","0.50%","Buy","Strong Buy","Neutro","1.80","—"
"GENTERADGENTERA SAB DE CV https://s3-symbol-logo.tradingview.com/gentera-sab-de-cv.svg","19.86MXN","2.089M","41.494M","2022-10-27","−1.68%","−0.20%","Buy","Strong Buy","Sell","0.40","—"
"FIHO/12DDEUTSCHE BANK MEXICO S.A. REIT https://s3-symbol-logo.tradingview.com/deutsche-bank-mexico-sa.svg","7.90MXN","50.193K","396.525K","2023-02-28","−0.63%","−1.62%","Sell","Strong Sell","Neutro","0.58","—"
"FNOVA/17DBANCO ACTINVER SA REIT https://s3-symbol-logo.tradingview.com/banco-actinver-sa.svg","28.92MXN","1.686K","48.759K","—","0.00%","−0.03%","Sell","Strong Sell","Buy","0.71","—"
"BIMBO/ADGRUPO BIMBO SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-bimbo.svg","75.03MXN","575.669K","43.192M","2022-10-27","0.71%","0.41%","Buy","Strong Buy","Neutro","0.33","—"
"EDUCA/18DBANCO INVEX S.A. REIT https://s3-symbol-logo.tradingview.com/banco-invex-sa.svg","54.00MXN","1.693K","91.422K","—","0.00%","0.00%","Strong Sell","Strong Sell","Neutro","2.52","—"
"OMA/BDGRUPO AEROPORTUARIO DEL CENTRO NORT https://s3-symbol-logo.tradingview.com/grupo-aeroportuario-del-centro-nort.svg","156.27MXN","1.196M","186.928M","2023-02-13","−0.55%","−0.46%","Buy","Strong Buy","Sell","1.41","—"
"ACDARCA CONTINENTAL SAB DE CV https://s3-symbol-logo.tradingview.com/arca-continental-sab-de-cv.svg","156.64MXN","1.805M","282.715M","2023-02-24","0.84%","0.55%","Buy","Strong Buy","Sell","0.86","—"
"AGUADGRUPO ROTOPLAS SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-rotoplas-sab-de-cv.svg","30.10MXN","250.247K","7.532M","2023-02-16","−0.82%","−0.27%","Buy","Strong Buy","Neutro","0.68","—"
"SORIANA/BDORGANIZACION SORIANA SAB DE CV https://s3-symbol-logo.tradingview.com/organizacion-soriana-sab-de-cv.svg","29.69MXN","68.918K","2.046M","2022-10-28","2.38%","−0.20%","Buy","Strong Buy","Neutro","3.01","—"
"AUTLAN/BDCIA MINERA AUTLAN SAB DE CV https://s3-symbol-logo.tradingview.com/cia-minera-autlan-sab-de-cv.svg","15.98MXN","122.02K","1.95M","—","−0.13%","−0.13%","Sell","Sell","Sell","34.40",""
"ALPEK/ADALPEK SAB DE CV https://s3-symbol-logo.tradingview.com/alpek-sab-de-cv.svg","27.56MXN","761.231K","20.98M","2023-02-15","0.44%","0.73%","Strong Buy","Strong Buy","Buy","0.60","—"
"GMXTDGMEXICO TRANSPORTES SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-mexico-sab-de-cv.svg","38.00MXN","10.24K","389.12K","2023-01-25","0.00%","0.00%","Strong Buy","Strong Buy","Buy","0.01",""
"GAP/BDGPO AEROPORTUARIO DEL PACIFICO SAB https://s3-symbol-logo.tradingview.com/gpo-aeroportuario-del-pacifico.svg","296.16MXN","803.275K","237.898M","2023-02-23","0.39%","0.64%","Strong Buy","Strong Buy","Neutro","0.61",""
"VESTADCORPORACION INMOBILIARIA VESTA SAB https://s3-symbol-logo.tradingview.com/corporacion-inmobiliaria-vesta-sab.svg","42.10MXN","2.61M","109.894M","2023-02-16","−4.21%","−4.27%","Buy","Strong Buy","Sell","0.79","—"
"FIBRAMQ/12DCIBANCO SA INSTIT DE BANCA MULTIPLE REIT https://s3-symbol-logo.tradingview.com/cibanco-sa-instit-de-banca-multiple.svg","27.64MXN","928.643K","25.668M","2023-02-23","4.46%","4.98%","Strong Buy","Strong Buy","Neutro","1.03","—"
"ASUR/BDGPO AEROPORTUARIO DEL SURESTE SAB https://s3-symbol-logo.tradingview.com/gpo-aeroportuario-del-sureste.svg","442.89MXN","205.82K","91.156M","2023-02-22","−0.47%","−0.61%","Buy","Strong Buy","Neutro","0.59","—"
"GFNORTE/ODGRUPO FINANCIERO BANORTE https://s3-symbol-logo.tradingview.com/banorte.svg","156.45MXN","8.622M","1.349B","2023-01-26","−2.34%","−2.10%","Buy","Strong Buy","Neutro","0.74","—"
"NEMAK/ADNEMAK SAB DE CV https://s3-symbol-logo.tradingview.com/nemak-sab-de-cv.svg","5.34MXN","2.871M","15.33M","2023-02-15","−0.74%","−0.74%","Buy","Strong Buy","Neutro","0.78","—"
"KOF/UBLDCOCA-COLA FEMSA S.A.B. DE C.V. https://s3-symbol-logo.tradingview.com/coca-cola.svg","123.81MXN","525.487K","65.061M","2023-02-23","−0.47%","−0.67%","Buy","Strong Buy","Sell","0.78",""
"F 			 				FUNO/11DBANCO ACTINVER SA REIT","22.48MXN","1.384M","31.104M","2023-02-23","1.35%","1.40%","Strong Buy","Strong Buy","Buy","0.27","—"
"FINN/13DDEUTSCHE BANK MEXICO S.A. REIT https://s3-symbol-logo.tradingview.com/deutsche-bank-mexico-sa.svg","3.65MXN","37.376K","136.422K","2022-10-27","−1.35%","−0.54%","Buy","Strong Buy","Neutro","2.15",""
"GCARSO/A1DGRUPO CARSO SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-carso-sab-de-cv.svg","78.95MXN","300.455K","23.721M","2023-02-23","2.20%","2.35%","Strong Buy","Strong Buy","Neutro","1.16","—"
"BACHOCO/BDINDUSTRIAS BACHOCO SAB DE CV https://s3-symbol-logo.tradingview.com/industrias-bachoco.svg","81.16MXN","251.268K","20.393M","2023-02-01","−0.45%","−0.29%","Buy","Strong Buy","Neutro","0.38","—"
"LIVEPOL/C-1DEL PUERTO DE LIVERPOOL SAB DE CV https://s3-symbol-logo.tradingview.com/el-puerto-de-liverpool-sab-de-cv.svg","98.07MXN","213.154K","20.904M","2023-02-21","0.58%","1.11%","Buy","Strong Buy","Neutro","0.42","—"
"MCDDMCDONALD'S CORPORATION https://s3-symbol-logo.tradingview.com/mcdonalds.svg","5100.00MXN","4","20.4K","2023-01-26","0.00%","0.00%","Buy","Strong Buy","Neutro","0.03","—"
"FIBRAPL/14DBANCO ACTINVER SA REIT https://s3-symbol-logo.tradingview.com/prologis.svg","51.01MXN","1.405M","71.682M","2023-01-26","1.61%","1.27%","Buy","Buy","Buy","1.46","—"
"KODCOCA-COLA CO https://s3-symbol-logo.tradingview.com/coca-cola.svg","1184.00MXN","8.491K","10.053M","2023-02-09","−0.09%","−0.08%","Neutro","Buy","Neutro","1.86",""
"WALMEXDWALMART DE MÉXICO Y CENTROAMÉRICA https://s3-symbol-logo.tradingview.com/walmart.svg","76.34MXN","11.848M","904.462M","2023-02-15","−0.86%","−0.82%","Buy","Strong Buy","Neutro","0.66","—"
"LACOMER/UBCDLACOMER SAB DE CV https://s3-symbol-logo.tradingview.com/lacomer-sab-de-cv.svg","36.21MXN","1.322M","47.858M","2023-02-22","−2.69%","−2.14%","Sell","Strong Sell","Sell","6.86","—"
"GILDDGILEAD SCIENCES INC https://s3-symbol-logo.tradingview.com/gilead.svg","1415.00MXN","10","14.15K","2022-10-27","0.00%","2.54%","Strong Buy","Strong Buy","Neutro","0.01","—"
"PFEDPFIZER INC https://s3-symbol-logo.tradingview.com/pfizer.svg","911.00MXN","50","45.55K","2022-11-01","0.00%","−0.44%","Neutro","Buy","Sell","0.01","—"
"HERDEZDGRUPO HERDEZ https://s3-symbol-logo.tradingview.com/grupo-herdez-sab-de-cv.svg","38.40MXN","74.981K","2.879M","2023-02-23","5.79%","5.99%","Strong Buy","Strong Buy","Buy","0.15","—"
"CULTIBA/BDORGANIZACION CULTIBA SAB DE CV https://s3-symbol-logo.tradingview.com/organizacion-cultiba-sab-de-cv.svg","10.67MXN","7.191K","76.728K","2022-10-27","−0.19%","−0.65%","Buy","Strong Buy","Neutro","1.56","—"
"F 			 				FSHOP/13DCIBANCO SA INSTIT DE BANCA MULTIPLE REIT","6.40MXN","57.385K","367.264K","2022-10-27","3.06%","0.79%","Strong Buy","Strong Buy","Neutro","3.66","—"
"AMX/LDAMERICA MOVIL SAB DE CV https://s3-symbol-logo.tradingview.com/america-movil.svg","18.23MXN","16.263M","296.466M","2023-02-14","−0.65%","−1.09%","Neutro","Buy","Sell","0.17","—"
"CVSDCVS HEALTH CORPORATION https://s3-symbol-logo.tradingview.com/cvs-health.svg","1790.00MXN","47","84.13K","2022-11-02","−2.90%","−1.49%","Sell","Strong Sell","Neutro","0.15",""
"FMTY/14DBANCO INVEX S.A. REIT https://s3-symbol-logo.tradingview.com/banco-invex-sa.svg","12.18MXN","74.711K","909.98K","—","−0.25%","0.16%","Buy","Buy","Neutro","0.54","—"
"BSMX/BDBANCO SANTANDER MEXICO SA https://s3-symbol-logo.tradingview.com/santander.svg","23.00MXN","8.875K","204.125K","2022-10-27","−0.86%","4.07%","Buy","Strong Buy","Buy","0.42",""
"DANHOS/13DBANCO NACIONAL DE MEXICO S.A. REIT https://s3-symbol-logo.tradingview.com/banco-nacional-de-mexico-sa.svg","24.29MXN","2.904M","70.546M","2023-02-16","0.00%","−0.00%","Buy","Strong Buy","Neutro","14.49",""
"BRKBDBERKSHIRE HATHAWAY INC https://s3-symbol-logo.tradingview.com/berkshire-hathaway.svg","5789.26MXN","38","219.992K","2022-10-31","0.00%","0.68%","Buy","Strong Buy","Neutro","0.08","—"
