"TickerNo se encontraron coincidencias  (i)","Precio","Vol.","Volumen*Precio","Fecha reciente de beneficios","Próxima fecha de beneficios","Capitalización de mercado","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnico","Valoración de medias móviles","Valoración de los osciladores","Vol relativo","Patrón","Gross Profit (Annual YoY Growth)","Gross Profit (Quarterly QoQ Growth)","Gross Profit (Quarterly YoY Growth)","Gross Profit (TTM YoY Growth)","Margen bruto","Margen neto","Ingresos","Ingresos","Ingresos anuales","BPA (TTM)","Previsión BPA","EBITDA (TTM YoY Growth)","RSI14","Nivel MACD","Volatilidad S","Volatilidad","Rendimiento trimestral","Rendimiento anual","Rendimiento semestral","Rendimiento mensual","Rendimiento semanal","Rend. YTD"
"VINTEDVINTE VIVIENDAS INTEG S.A.P.I.DE CV https://s3-symbol-logo.tradingview.com/vinte-viviendas-integ-sapide-cv.svg","31.62MXN","28.14K","889.787K","2022-10-19","2023-02-28","6.709BMXN","2.00%","2.00%","Buy","Buy","Buy","262.01","","10.98%","8.94%","22.76%","16.24%","27.06%","8.89%","364.227MMXN","4.161BMXN","4.161BMXN","1.79MXN","—","15.42%","54.68 N","−0.27614287 B","0.40%","2.00%","−12.17%","9.41%","11.26%","2.00%","2.00%","11.34%"
"DVNDDEVON ENERGY CORP https://s3-symbol-logo.tradingview.com/devon-energy.svg","1526.41MXN","234.217K","357.511M","2022-08-01","2022-11-01","1.005TMXN","−0.75%","−1.08%","Buy","Strong Buy","Neutro","77.44","—","7569.90%","38.94%","202.68%","277.43%","47.00%","27.18%","57.155BMXN","282.387BMXN","282.387BMXN","158.61MXN","42.74MXN","198.85%","60.32 N","51.03652131 B","1.27%","1.18%","22.60%","74.45%","11.82%","26.16%","2.65%","69.66%"
"MEDICA/BDMEDICA SUR SAB DE CV https://s3-symbol-logo.tradingview.com/medica-sur-sab-de-cv.svg","38.21MXN","1.036M","39.601M","2022-10-21","—","4.734BMXN","0.55%","−0.49%","Sell","Strong Sell","Neutro","42.57","—","−10.91%","1.12%","−42.41%","−40.77%","36.16%","9.16%","376.042MMXN","3.906BMXN","3.906BMXN","9.90MXN","—","−49.55%","40.86 N","−0.81225119 B","0.96%","1.32%","−30.53%","−11.35%","−23.88%","3.30%","−0.49%","−21.51%"
"ACTINVR/BDCORP ACTINVER SAB DE CV https://s3-symbol-logo.tradingview.com/actinver.svg","12.31MXN","36.933K","454.645K","—","—","6.595BMXN","0.08%","−0.32%","Neutro","Neutro","Neutro","20.60","","−5.58%","−7.41%","−2.10%","0.24%","50.31%","6.96%","867MMXN","10.031BMXN","10.031BMXN","1.37MXN","—","−24.70%","46.46 N","0.02978678 S","0.95%","2.38%","1.74%","12.94%","3.45%","−0.16%","−1.44%","2.58%"
"NKEDNIKE INC https://s3-symbol-logo.tradingview.com/nike.svg","1850.30MXN","5.917K","10.948M","2022-09-29","2022-12-22","2.879TMXN","−1.30%","0.12%","Sell","Sell","Neutro","8.03","","7.19%","3.39%","−4.03%","1.97%","45.14%","11.94%","118.981BMXN","920.83BMXN","920.83BMXN","72.22MXN","12.73MXN","−15.75%","50.08 N","−29.27139181 B","1.11%","1.44%","−20.35%","−46.77%","−23.54%","−1.32%","3.24%","−45.82%"
"NVTADINVITAE CORP https://s3-symbol-logo.tradingview.com/invitae.svg","56.00MXN","509","28.504K","2022-08-09","2022-11-08","12.049BMXN","7.69%","12.00%","Buy","Buy","Buy","7.43","","47.40%","0.15%","−1.48%","1.67%","21.55%","−620.69%","−7.784BMXN","9.456BMXN","9.456BMXN","−271.43MXN","−12.72MXN","−16.96%","58.15 N","−1.56124371 B","4.82%","11.54%","30.26%","−90.28%","−50.49%","13.84%","34.94%","−81.64%"
"MCDDMCDONALD'S CORPORATION https://s3-symbol-logo.tradingview.com/mcdonalds.svg","5387.99MXN","533","2.872M","2022-10-27","2023-01-26","3.982TMXN","0.71%","0.71%","Strong Buy","Strong Buy","Buy","7.07","","32.69%","2.75%","−4.18%","3.91%","55.12%","25.41%","154.958BMXN","476.935BMXN","476.935BMXN","—","48.14MXN","1.34%","78.36 N","76.38229811 B","0.37%","0.71%","−0.22%","4.82%","6.55%","15.47%","5.94%","−1.86%"
"PLTRDPALANTIR TECH INC https://s3-symbol-logo.tradingview.com/palantir.svg","171.15MXN","1.595K","272.984K","2022-08-08","2022-11-07","360.157BMXN","−2.20%","−1.07%","Buy","Buy","Neutro","6.02","—","67.46%","6.69%","31.71%","47.23%","78.73%","−30.90%","−10.687BMXN","31.666BMXN","31.666BMXN","−5.37MXN","0.40MXN","83.30%","54.69 N","2.86901919 B","2.63%","3.55%","−26.39%","−68.36%","−23.42%","1.88%","3.11%","−54.96%"
"UBERDUBER TECHNOLOGIES INC https://s3-symbol-logo.tradingview.com/uber.svg","587.89MXN","251.036K","147.582M","2022-11-01","2023-02-08","1.044TMXN","0.11%","11.71%","Buy","Strong Buy","Buy","5.67","—","45.70%","4.31%","77.77%","98.41%","29.96%","−39.39%","−10.186BMXN","358.478BMXN","358.478BMXN","−104.21MXN","−2.81MXN","74.90%","56.99 N","−2.52378547 B","3.46%","14.44%","−3.37%","−35.40%","5.55%","8.27%","7.24%","−32.74%"
"ABNBDAIRBNB INC https://s3-symbol-logo.tradingview.com/airbnb.svg","2144.29MXN","2.241K","4.805M","2022-08-02","2022-11-01","1.377TMXN","−0.27%","0.44%","Strong Sell","Strong Sell","Neutro","5.42","—","99.20%","61.42%","76.82%","76.20%","71.84%","16.91%","−7.23BMXN","123.054BMXN","123.054BMXN","40.14MXN","29.58MXN","153.14%","40.85 N","−9.36003951 S","2.09%","1.28%","−9.14%","−39.60%","−30.00%","1.15%","−7.97%","−37.85%"
"SOFIDSOFI TECHNOLOGIES INC https://s3-symbol-logo.tradingview.com/sofi.svg","113.20MXN","18.355K","2.078M","2022-11-01","2023-02-28","99.602BMXN","−3.17%","4.64%","Buy","Buy","Buy","5.26","—","55.01%","2.46%","67.45%","220.17%","45.55%","−25.91%","−9.939BMXN","22.337BMXN","22.337BMXN","−9.19MXN","−1.92MXN","−8.47%","56.83 N","−0.31657913 B","3.90%","13.00%","−22.99%","−73.05%","−21.66%","16.40%","6.79%","−65.17%"
"FDFORD MOTOR COMPANY https://s3-symbol-logo.tradingview.com/ford.svg","263.51MXN","27.231K","7.176M","2022-10-26","2023-01-25","1.067TMXN","−0.56%","−0.71%","Neutro","Buy","Sell","3.75","—","98.98%","34.72%","79.88%","34.48%","12.43%","7.88%","368.377BMXN","2.8TMXN","2.8TMXN","58.80MXN","12.48MXN","53.76%","58.83 N","0.10354843 B","2.67%","1.69%","−16.51%","−25.77%","−11.78%","16.06%","5.83%","−39.10%"
"BYNDDBEYOND MEAT INC https://s3-symbol-logo.tradingview.com/beyond-meat.svg","302.10MXN","731","220.835K","2022-08-04","2022-11-09","19.842BMXN","−1.76%","−3.18%","Sell","Sell","Neutro","3.52","—","−10.51%","−708.15%","−115.82%","−79.58%","5.79%","−71.78%","−3.74BMXN","9.544BMXN","9.544BMXN","−105.63MXN","−23.22MXN","−422.33%","47.78 N","−16.97767286 B","3.12%","3.31%","−56.61%","−85.25%","−61.54%","0.70%","18.47%","−77.56%"
"FNOVA/17DBANCO ACTINVER SA REIT https://s3-symbol-logo.tradingview.com/banco-actinver-sa.svg","29.00MXN","8.853K","256.737K","—","—","—","0.00%","0.00%","Sell","Strong Sell","Neutro","3.31","—","—","—","—","—","—","—","—","—","—","—","—","—","21.74 N","−0.2522392 B","0.09%","0.00%","−9.09%","31.82%","−2.39%","−1.69%","0.03%","13.81%"
"COINDCOINBASE GLOBAL INC https://s3-symbol-logo.tradingview.com/coinbase.svg","1260.36MXN","1.901K","2.396M","2022-08-09","2022-11-03","296.077BMXN","−3.15%","−7.80%","Sell","Strong Sell","Neutro","3.18","—","493.12%","−26.93%","−65.74%","9.85%","80.23%","−4.59%","63.603BMXN","161.001BMXN","161.001BMXN","−22.21MXN","−47.92MXN","−78.27%","43.10 N","−3.42619321 B","1.91%","8.92%","−15.98%","−46.50%","−46.02%","−0.76%","−8.00%","−46.50%"
