"TickerNo se encontraron coincidencias 		 		 		 	ETF  (i)","Precio","Vol.","Volumen*Precio","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnico","Valoración de medias móviles","Valoración de los osciladores","Vol relativo","Patrón","Gross Profit (Quarterly QoQ Growth)","Gross Profit (Quarterly YoY Growth)","Gross Profit (TTM YoY Growth)","Margen bruto","Margen neto","Ingresos","Ingresos","Ingresos anuales","BPA (TTM)","Previsión BPA","EBITDA (TTM YoY Growth)","RSI14","Nivel MACD","Volatilidad S","Volatilidad","Rendimiento trimestral","Rendimiento anual","Rendimiento semestral","Rendimiento mensual","Rendimiento semanal","Rend. YTD","Sector"
"YINNDDIREXION DAILY FTSE CHINA BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","26.25USD","1.961M","51.477M","−2.71%","−9.89%","Sell","Strong Sell","Neutro","0.53","—","—","—","—","—","—","—","—","—","—","—","—","40.53 N","−4.23365032 B","7.01%","11.35%","−60.59%","−87.55%","−59.49%","−35.46%","13.83%","−84.11%","Miscelánea"
"GUSHDDIREXION DAILY S&P OIL & GAS EXP. & PROD. BULL 2X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","189.14USD","388.158K","73.414M","−3.50%","−7.29%","Buy","Strong Buy","Neutro","0.71","—","—","—","—","—","—","—","—","—","—","—","—","56.28 N","10.25478514 B","6.42%","9.29%","20.71%","57.32%","23.14%","13.68%","−0.20%","114.39%","Miscelánea"
"SOXLDDIREXION DAILY SEMICONDUCTOR BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","9.59USD","69.6M","667.115M","−1.58%","−5.75%","Neutro","Neutro","Neutro","0.51","—","—","—","—","—","—","—","—","—","—","—","—","51.66 N","−0.19310761 B","8.32%","8.65%","−53.17%","−85.31%","−53.40%","5.68%","3.40%","−86.12%","Miscelánea"
"UNGDUNITED STATES NATURAL GAS FUND LP ETF https://s3-symbol-logo.tradingview.com/natural-gas.svg","19.09USD","5.793M","110.591M","0.95%","−5.50%","Sell","Strong Sell","Neutro","0.76","","—","—","—","—","—","—","—","—","—","—","—","42.35 N","−0.95158937 B","7.13%","9.37%","−34.38%","11.96%","−28.77%","−18.97%","−3.68%","53.33%","Miscelánea"
"TECLDDIREXION TECHNOLOGY BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","22.10USD","2.531M","55.929M","−2.51%","−4.91%","Sell","Strong Sell","Buy","0.45","—","—","—","—","—","—","—","—","—","—","—","—","44.75 N","−0.77507913 B","6.77%","6.31%","−50.08%","−72.46%","−35.29%","−0.58%","−11.60%","−74.55%","Miscelánea"
"LABUDDIREXION DAILY S&P BIOTECH BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","6.49USD","36.554M","237.051M","−2.33%","−4.35%","Strong Sell","Strong Sell","Sell","0.60","—","—","—","—","—","—","—","—","—","—","—","—","43.27 N","−0.18041439 S","9.96%","6.10%","−49.18%","−89.18%","19.65%","−4.91%","−14.45%","−82.26%","Miscelánea"
"TQQQDPROSHARES ULTRAPRO QQQ ETF https://s3-symbol-logo.tradingview.com/proshares.svg","18.20USD","124.491M","2.266B","−1.77%","−3.80%","Sell","Strong Sell","Buy","0.47","—","—","—","—","—","—","—","—","—","—","—","—","42.18 N","−1.01982245 B","6.28%","4.65%","−51.24%","−78.74%","−39.02%","−6.73%","−10.25%","−78.31%","Miscelánea"
"EDCDDIREXION EMERGING MARKETS BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","25.22USD","32.337K","815.377K","−0.96%","−3.39%","Sell","Neutro","Sell","0.32","—","—","—","—","—","—","—","—","—","—","—","—","53.29 N","−0.32354782 B","3.88%","3.51%","−34.79%","−69.84%","−31.24%","2.92%","8.94%","−66.30%","Miscelánea"
"LITDGLOBAL X LITHIUM & BATTERY TECH ETF ETF https://s3-symbol-logo.tradingview.com/global-x.svg","70.16USD","177.993K","12.488M","−1.78%","−3.07%","Neutro","Buy","Sell","0.35","—","—","—","—","—","—","—","—","—","—","—","—","53.63 N","0.35647387 B","2.39%","3.29%","−12.04%","−27.48%","6.89%","5.95%","2.62%","−17.89%","Miscelánea"
"SPXLDDIREXION DAILY S&P 500 BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","61.61USD","8.366M","515.404M","−1.33%","−3.04%","Sell","Strong Sell","Neutro","0.52","—","—","—","—","—","—","—","—","—","—","—","—","49.26 N","−0.03038091 B","4.95%","3.74%","−32.26%","−55.67%","−21.66%","9.74%","−4.89%","−57.42%","Miscelánea"
"JNUGDDIREXION DAILY JUNIOR GOLD MINERS INDEX BULL 2X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","30.52USD","1.252M","38.205M","−2.43%","−2.99%","Buy","Buy","Neutro","0.54","—","—","—","—","—","—","—","—","—","—","—","—","58.43 N","0.64784289 B","8.13%","5.79%","−19.51%","−58.50%","−29.09%","15.65%","9.78%","−50.83%","Miscelánea"
"XLEDSPDR SELECT SECTOR FUND - ENERGY SELECT SECTOR ETF https://s3-symbol-logo.tradingview.com/sector/energy.svg","90.49USD","13.556M","1.227B","−1.45%","−2.78%","Buy","Strong Buy","Neutro","0.54","—","—","—","—","—","—","—","—","—","—","—","—","61.81 N","3.17658275 B","2.48%","3.25%","17.98%","53.74%","14.15%","10.19%","−0.10%","62.81%","Miscelánea"
"FASDDIREXION FINANCIAL BULL 3X SHARES ETF https://s3-symbol-logo.tradingview.com/direxion.svg","74.58USD","637.451K","47.541M","−0.72%","−2.61%","Buy","Strong Buy","Neutro","0.46","—","—","—","—","—","—","—","—","—","—","—","—","58.91 N","3.12560042 B","4.12%","3.64%","−12.21%","−47.80%","−1.93%","29.23%","0.84%","−44.18%","Miscelánea"
"USODUNITED STATES OIL FUND ETF https://s3-symbol-logo.tradingview.com/wisdomtree.svg","72.61USD","1.271M","92.294M","−0.77%","−2.50%","Neutro","Neutro","Neutro","0.48","—","—","—","—","—","—","—","—","—","—","—","—","50.52 N","1.04990766 B","2.00%","3.06%","−4.25%","26.92%","−9.91%","−3.56%","−0.70%","34.54%","Miscelánea"
"QLDDPROSHARES ULTRA QQQ ETF https://s3-symbol-logo.tradingview.com/proshares.svg","35.74USD","2.227M","79.593M","−1.08%","−2.46%","Sell","Strong Sell","Neutro","0.41","—","—","—","—","—","—","—","—","—","—","—","—","43.02 N","−1.11397228 S","4.08%","3.04%","−36.37%","−60.42%","−24.02%","−3.54%","−6.68%","−60.13%","Miscelánea"
"VGTDVANGUARD INFORMATION TECH ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","312.48USD","207.821K","64.94M","−0.77%","−1.75%","Sell","Strong Sell","Neutro","0.29","—","—","—","—","—","—","—","—","—","—","—","—","45.10 N","−2.40535928 S","2.32%","2.16%","−18.98%","−30.91%","−8.67%","−0.08%","−4.58%","−31.88%","Miscelánea"
"XLKDSPDR SELECT SECTOR FUND - TECHNOLOGY ETF https://s3-symbol-logo.tradingview.com/sector/technology.svg","122.10USD","2.6M","317.449M","−0.76%","−1.68%","Sell","Strong Sell","Buy","0.37","—","—","—","—","—","—","—","—","—","—","—","—","46.60 N","−0.70393921 B","2.20%","2.05%","−18.15%","−27.42%","−8.39%","1.10%","−3.64%","−29.87%","Miscelánea"
"IWMDISHARES RUSSELL 2000 ETF ETF https://s3-symbol-logo.tradingview.com/ishares.svg","176.98USD","13.229M","2.341B","−0.57%","−1.44%","Sell","Sell","Neutro","0.46","—","—","—","—","—","—","—","—","—","—","—","—","50.47 N","1.31450801 B","2.03%","1.67%","−10.35%","−26.87%","1.11%","4.54%","−3.20%","−20.89%","Miscelánea"
"EWZDISHARES INC ISHARES MSCI BRAZIL ETF ETF https://s3-symbol-logo.tradingview.com/ishares.svg","32.27USD","12.335M","398.035M","−0.40%","−1.22%","Buy","Buy","Neutro","0.32","—","—","—","—","—","—","—","—","—","—","—","—","50.85 N","0.33731382 S","2.90%","1.71%","2.06%","5.46%","3.26%","−1.25%","−1.80%","17.13%","Miscelánea"
"VWODVANGUARD FTSE EMERGING MARKETS ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","37.16USD","5.502M","204.48M","−0.32%","−1.22%","Sell","Neutro","Sell","0.33","—","—","—","—","—","—","—","—","—","—","—","—","52.85 N","−0.12340761 B","1.27%","1.28%","−12.11%","−27.83%","−9.01%","0.68%","2.83%","−25.18%","Miscelánea"
"VTIDVANGUARD TOTAL STOCK MARKET ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","189.52USD","1.843M","349.354M","−0.49%","−1.12%","Sell","Sell","Neutro","0.40","—","—","—","—","—","—","—","—","—","—","—","—","50.19 N","0.47651518 B","1.68%","1.30%","−10.95%","−22.02%","−4.24%","3.62%","−1.84%","−21.82%","Miscelánea"
"INDADISHARES MSCI INDIA ETF ETF https://s3-symbol-logo.tradingview.com/ishares.svg","43.02USD","1.286M","55.319M","−0.27%","−1.02%","Buy","Strong Buy","Sell","0.47","—","—","—","—","—","—","—","—","—","—","—","—","58.85 N","0.37942504 B","0.72%","1.09%","−0.91%","−14.70%","7.11%","4.91%","2.03%","−7.53%","Miscelánea"
"DIADSPDR DOW JONES INDUSTRIAL AVERAGE ETF ETF https://s3-symbol-logo.tradingview.com/spdr-sandp500-etf-tr.svg","328.35USD","2.654M","871.53M","−0.41%","−1.01%","Buy","Strong Buy","Neutro","0.51","—","—","—","—","—","—","—","—","—","—","—","—","63.47 N","6.39530651 B","1.51%","1.10%","−2.22%","−9.84%","2.50%","11.58%","0.89%","−9.88%","Miscelánea"
"SPLGDSPDR PORTFOLIO S&P 500 ETF ETF https://s3-symbol-logo.tradingview.com/spdr-sandp500-etf-tr.svg","44.47USD","2.114M","94.02M","−0.38%","−1.00%","Sell","Sell","Neutro","0.44","—","—","—","—","—","—","—","—","—","—","—","—","50.77 N","0.12047891 B","1.60%","1.22%","−10.56%","−19.41%","−4.63%","3.95%","−1.46%","−20.59%","Miscelánea"
"VTDVANGUARD TOTAL WORLD STOCK INDEX ETF ETF https://s3-symbol-logo.tradingview.com/vanguard.svg","83.90USD","1.213M","101.777M","−0.36%","−0.99%","Buy","Buy","Neutro","0.50","—","—","—","—","—","—","—","—","—","—","—","—","53.68 N","0.36071549 B","1.40%","1.15%","−10.46%","−23.20%","−5.75%","4.38%","−0.19%","−22.25%","Miscelánea"
"IVVDISHARES CORE S&P 500 ETF ETF https://s3-symbol-logo.tradingview.com/ishares.svg","379.84USD","1.352M","513.395M","−0.42%","−0.98%","Sell","Sell","Neutro","0.27","—","—","—","—","—","—","—","—","—","—","—","—","50.75 N","0.97006261 B","1.62%","1.19%","−10.68%","−19.39%","−4.65%","3.93%","−1.49%","−20.60%","Miscelánea"
