"TickerNo se encontraron coincidencias 		 		 		 	ETF  (i)","Precio","Vol.","Volumen*Precio","Fecha reciente de beneficios","Próxima fecha de beneficios","Capitalización de mercado","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnico","Valoración de medias móviles","Valoración de los osciladores","Vol relativo","Patrón","Gross Profit (Annual YoY Growth)","Gross Profit (Quarterly QoQ Growth)","Gross Profit (Quarterly YoY Growth)","Gross Profit (TTM YoY Growth)","Margen bruto","Margen neto","Ingresos","Ingresos","Ingresos anuales","BPA (TTM)","Previsión BPA","EBITDA (TTM YoY Growth)","RSI14","Nivel MACD","Volatilidad S","Volatilidad","Rendimiento trimestral","Rendimiento anual","Rendimiento semestral","Rendimiento mensual","Rendimiento semanal","Rend. YTD","Sector","Mercado bursátil3 elementos"
"TSLADTESLA INC https://s3-symbol-logo.tradingview.com/tesla.svg","3519.00MXN","5K","17.595M","2022-10-19","2023-01-25","604.078BUSD","−4.89%","−5.96%","Strong Sell","Strong Sell","Sell","1.22","—","111.52%","27.27%","43.57%","79.69%","26.61%","14.94%","5.524BUSD","53.823BUSD","53.823BUSD","3.60USD","1.31USD","120.40%","23.34 N","−314.00292045 S","7.79%","8.73%","−39.88%","−55.46%","−31.89%","−21.29%","−22.40%","−54.81%","Bienes de consumo duraderos","BMV"
"METADMETA PLATFORMS INC https://s3-symbol-logo.tradingview.com/meta-platforms.svg","2000.01MXN","9.651K","19.302M","2022-10-26","2023-02-01","255.807BUSD","1.51%","7.56%","Sell","Strong Sell","Sell","0.72","—","41.77%","−6.79%","−7.58%","1.97%","80.31%","24.41%","39.37BUSD","117.929BUSD","117.929BUSD","10.57USD","2.26USD","−22.52%","36.07 N","−258.61745527 S","4.73%","9.67%","−43.52%","−48.05%","−48.05%","−25.14%","7.64%","−48.05%","Servicios tecnológicos","BMV"
"AMZNDAMAZON COM INC https://s3-symbol-logo.tradingview.com/amazon.svg","1695.00MXN","14.251K","24.155M","2022-10-27","2023-02-02","917.945BUSD","−3.97%","−4.24%","Sell","Strong Sell","Neutro","0.27","—","33.24%","3.82%","15.88%","11.56%","43.04%","2.25%","33.364BUSD","469.822BUSD","469.822BUSD","1.11USD","0.22USD","−15.18%","20.87 N","−170.80311991 S","5.81%","5.23%","−41.05%","−52.51%","−23.90%","−26.21%","−16.98%","−50.77%","Comercio minorista","BMV"
"MSFTDMICROSOFT CORP. https://s3-symbol-logo.tradingview.com/microsoft.svg","4408.00MXN","1.483K","6.537M","2022-10-25","2023-01-24","1.706TUSD","−2.04%","−1.59%","Sell","Strong Sell","Sell","0.13","","18.39%","−2.04%","6.88%","11.50%","68.26%","34.37%","72.738BUSD","198.27BUSD","198.27BUSD","9.33USD","2.30USD","11.36%","41.26 N","−128.19767735 S","2.98%","2.16%","−23.97%","−35.57%","−14.88%","−5.20%","−4.14%","−36.12%","Servicios tecnológicos","BMV"
"ABNBDAIRBNB INC https://s3-symbol-logo.tradingview.com/airbnb.svg","1901.00MXN","156","296.556K","2022-11-02","2023-02-23","62.703BUSD","0.00%","−3.56%","Sell","Strong Sell","Neutro","0.21","—","99.20%","50.85%","26.15%","56.12%","72.22%","20.29%","−352.034MUSD","5.992BUSD","5.992BUSD","2.55USD","0.24USD","173.23%","36.58 N","−92.72646303 S","4.65%","3.69%","−20.92%","−52.88%","−21.58%","−12.40%","−11.58%","−44.90%","Servicios al consumidor","BMV"
"GOOGDALPHABET INC. (GOOGLE) CLASE C https://s3-symbol-logo.tradingview.com/alphabet.svg","1730.01MXN","1.753K","3.033M","2022-10-25","2023-01-31","1.151TUSD","−1.03%","−1.03%","Sell","Strong Sell","Neutro","0.22","—","54.73%","−4.75%","−2.73%","13.18%","55.87%","23.87%","76.033BUSD","257.488BUSD","257.488BUSD","5.09USD","1.20USD","5.62%","34.50 N","−88.68584982 S","4.62%","1.16%","−28.50%","−42.81%","−26.34%","−13.50%","−8.22%","−41.99%","Servicios tecnológicos","BMV"
"GOOGLDALPHABET INC (GOOGLE) CLASS A https://s3-symbol-logo.tradingview.com/alphabet.svg","1717.05MXN","3.194K","5.484M","2022-10-25","2023-01-31","1.151TUSD","−1.32%","−0.69%","Sell","Strong Sell","Sell","0.18","—","54.73%","−4.75%","−2.73%","13.18%","55.87%","23.87%","76.033BUSD","257.488BUSD","257.488BUSD","5.09USD","1.20USD","5.62%","34.81 N","−88.03973195 S","4.40%","1.63%","−28.72%","−43.38%","−25.67%","−12.40%","−8.86%","−42.54%","Servicios tecnológicos","BMV"
"COINDCOINBASE GLOBAL INC https://s3-symbol-logo.tradingview.com/coinbase.svg","895.00MXN","4.535K","4.059M","2022-11-03","2023-02-23","11.537BUSD","−4.28%","−10.48%","Strong Sell","Strong Sell","Sell","3.59","—","493.12%","−31.38%","−61.51%","−24.21%","78.33%","−23.95%","3.097BUSD","7.839BUSD","7.839BUSD","−5.42USD","−2.48USD","−112.14%","29.52 N","−87.88205629 S","8.90%","13.99%","−53.29%","−62.01%","−35.14%","−32.71%","−31.23%","−62.01%","Servicios tecnológicos","BMV"
"BABA/NDALIBABA GROUP HOLDING LTD DR https://s3-symbol-logo.tradingview.com/alibaba.svg","1278.00MXN","1.518K","1.94M","2022-08-04","2022-11-17","180.989BUSD","−1.84%","−4.15%","Sell","Strong Sell","Neutro","0.24","—","8.93%","14.19%","−8.06%","3.78%","34.76%","3.71%","9.655BUSD","132.931BUSD","132.931BUSD","1.83USD","1.65USD","−1.16%","36.31 N","−83.12070622 B","4.27%","4.74%","−31.55%","−61.10%","−22.83%","−18.74%","−3.77%","−47.74%","Comercio minorista","BMV"
"QCOMDQUALCOMM INC https://s3-symbol-logo.tradingview.com/qualcomm.svg","2165.02MXN","155","335.578K","2022-11-02","2023-02-01","126.157BUSD","−1.19%","−1.92%","Sell","Strong Sell","Sell","0.06","—","29.30%","6.80%","18.05%","29.30%","57.84%","29.38%","12.936BUSD","44.2BUSD","44.2BUSD","11.52USD","2.54USD","42.21%","41.89 N","−72.73690007 S","2.21%","1.96%","−27.83%","−36.32%","−19.84%","−6.30%","−6.78%","−42.72%","Tecnología electrónica","BMV"
"AAPLDAPPLE INC https://s3-symbol-logo.tradingview.com/apple.svg","2645.00MXN","76.292K","201.792M","2022-10-27","2023-01-26","2.219TUSD","−3.14%","−3.47%","Sell","Strong Sell","Neutro","1.50","","9.10%","6.29%","5.74%","8.23%","43.31%","25.31%","99.803BUSD","394.328BUSD","394.328BUSD","6.14USD","2.06USD","4.93%","36.43 N","−64.85300241 S","4.34%","3.59%","−21.98%","−13.49%","−10.19%","−5.75%","−12.24%","−27.61%","Tecnología electrónica","BMV"
"PYPLDPAYPAL HOLDINGS INC https://s3-symbol-logo.tradingview.com/paypal.svg","1519.63MXN","630","957.367K","2022-11-03","2023-02-01","92.49BUSD","−1.39%","−4.55%","Sell","Strong Sell","Sell","0.21","—","5.74%","5.93%","−4.53%","−7.95%","42.24%","8.60%","4.169BUSD","25.561BUSD","25.561BUSD","1.98USD","1.19USD","−17.94%","38.22 N","−63.05992843 S","5.12%","4.76%","−24.62%","−65.15%","−2.27%","−12.49%","−7.90%","−61.23%","Servicios comerciales","BMV"
"CRMDSALESFORCE INC https://s3-symbol-logo.tradingview.com/salesforce.svg","2819.18MXN","10","28.192K","2022-08-24","2022-11-29","147.1BUSD","0.00%","−1.87%","Sell","Strong Sell","Sell","0.02","—","24.20%","0.45%","15.22%","21.32%","63.68%","1.83%","1.444BUSD","26.492BUSD","26.492BUSD","0.55USD","1.22USD","3.27%","39.06 N","−57.84090668 S","2.10%","1.91%","−26.12%","−55.25%","−12.85%","−5.56%","−10.70%","−45.89%","Servicios tecnológicos","BMV"
"ROKUDROKU INC https://s3-symbol-logo.tradingview.com/roku.svg","935.00MXN","2.238K","2.093M","2022-11-02","2023-02-16","7.065BUSD","−3.81%","−6.50%","Strong Sell","Strong Sell","Sell","0.52","","72.45%","−0.35%","−7.26%","3.82%","44.05%","−7.59%","242.385MUSD","2.765BUSD","2.765BUSD","−1.72USD","−1.65USD","−144.84%","36.30 N","−57.6420159 S","3.75%","6.95%","−44.77%","−83.58%","−50.79%","−12.62%","−18.57%","−80.01%","Bienes de consumo duraderos","BMV"
"TT/NDTRANE TECHNOLOGIES PLC https://s3-symbol-logo.tradingview.com/trane-technologies.svg","3102.03MXN","226","701.059K","2022-11-02","2023-02-01","39.134BUSD","0.00%","6.19%","Buy","Buy","Buy","0.24","—","20.33%","8.71%","16.74%","6.67%","30.89%","10.72%","1.423BUSD","14.136BUSD","14.136BUSD","6.99USD","1.65USD","11.19%","50.71 N","−51.91374149 B","0.00%","5.83%","10.98%","−13.01%","4.09%","4.27%","6.19%","−24.98%","Fabricación de productos","BMV"
"DISDTHE WALT DISNEY COMPANY https://s3-symbol-logo.tradingview.com/walt-disney.svg","1694.74MXN","15.715K","26.633M","2022-11-08","2023-02-07","182.123BUSD","−5.85%","−13.32%","Strong Sell","Strong Sell","Sell","1.81","","1.24%","2.97%","44.90%","66.61%","29.13%","3.89%","1.995BUSD","67.387BUSD","67.387BUSD","1.73USD","0.94USD","72.05%","27.15 N","−38.41822443 S","5.02%","15.57%","−30.63%","−52.85%","−20.44%","−13.36%","−20.23%","−47.04%","Servicios al consumidor","BMV"
"PLUGDPLUG POWER INC https://s3-symbol-logo.tradingview.com/plug-power.svg","295.19MXN","3.727K","1.1M","2022-11-08","2023-03-09","8.579BUSD","−6.29%","1.34%","Sell","Strong Sell","Neutro","4.11","—","−128.14%","6.99%","18.52%","−144.75%","−31.05%","−105.26%","−459.965MUSD","502.342MUSD","502.342MUSD","−1.09USD","−0.22USD","−148.47%","30.91 N","−38.32564453 B","6.34%","8.94%","−49.27%","−64.43%","−0.94%","−25.27%","−6.59%","−49.97%","Tecnología electrónica","BMV"
